,wheelbase,carlength,carwidth,carheight,enginesize,boreratio,stroke,compressionratio,horsepower,price,diesel,gas,front,rear,std,turbo
0,88.6,168.8,64.1,48.8,130,3.47,2.68,9.0,111,13495.0,0,1,1,0,1,0
1,88.6,168.8,64.1,48.8,130,3.47,2.68,9.0,111,16500.0,0,1,1,0,1,0
2,94.5,171.2,65.5,52.4,152,2.68,3.47,9.0,154,16500.0,0,1,1,0,1,0
3,99.8,176.6,66.2,54.3,109,3.19,3.4,10.0,102,13950.0,0,1,1,0,1,0
4,99.4,176.6,66.4,54.3,136,3.19,3.4,8.0,115,17450.0,0,1,1,0,1,0
5,99.8,177.3,66.3,53.1,136,3.19,3.4,8.5,110,15250.0,0,1,1,0,1,0
6,105.8,192.7,71.4,55.7,136,3.19,3.4,8.5,110,17710.0,0,1,1,0,1,0
7,105.8,192.7,71.4,55.7,136,3.19,3.4,8.5,110,18920.0,0,1,1,0,1,0
8,105.8,192.7,71.4,55.9,131,3.13,3.4,8.3,140,23875.0,0,1,1,0,0,1
9,99.5,178.2,67.9,52.0,131,3.13,3.4,7.0,160,17859.167,0,1,1,0,0,1
10,101.2,176.8,64.8,54.3,108,3.5,2.8,8.8,101,16430.0,0,1,1,0,1,0
11,101.2,176.8,64.8,54.3,108,3.5,2.8,8.8,101,16925.0,0,1,1,0,1,0
12,101.2,176.8,64.8,54.3,164,3.31,3.19,9.0,121,20970.0,0,1,1,0,1,0
13,101.2,176.8,64.8,54.3,164,3.31,3.19,9.0,121,21105.0,0,1,1,0,1,0
14,103.5,189.0,66.9,55.7,164,3.31,3.19,9.0,121,24565.0,0,1,1,0,1,0
15,103.5,189.0,66.9,55.7,209,3.62,3.39,8.0,182,30760.0,0,1,1,0,1,0
16,103.5,193.8,67.9,53.7,209,3.62,3.39,8.0,182,41315.0,0,1,1,0,1,0
17,110.0,197.0,70.9,56.3,209,3.62,3.39,8.0,182,36880.0,0,1,1,0,1,0
18,88.4,141.1,60.3,53.2,61,2.91,3.03,9.5,48,5151.0,0,1,1,0,1,0
19,94.5,155.9,63.6,52.0,90,3.03,3.11,9.6,70,6295.0,0,1,1,0,1,0
20,94.5,158.8,63.6,52.0,90,3.03,3.11,9.6,70,6575.0,0,1,1,0,1,0
21,93.7,157.3,63.8,50.8,90,2.97,3.23,9.41,68,5572.0,0,1,1,0,1,0
22,93.7,157.3,63.8,50.8,90,2.97,3.23,9.4,68,6377.0,0,1,1,0,1,0
23,93.7,157.3,63.8,50.8,98,3.03,3.39,7.6,102,7957.0,0,1,1,0,0,1
24,93.7,157.3,63.8,50.6,90,2.97,3.23,9.4,68,6229.0,0,1,1,0,1,0
25,93.7,157.3,63.8,50.6,90,2.97,3.23,9.4,68,6692.0,0,1,1,0,1,0
26,93.7,157.3,63.8,50.6,90,2.97,3.23,9.4,68,7609.0,0,1,1,0,1,0
27,93.7,157.3,63.8,50.6,98,3.03,3.39,7.6,102,8558.0,0,1,1,0,0,1
28,103.3,174.6,64.6,59.8,122,3.34,3.46,8.5,88,8921.0,0,1,1,0,1,0
29,95.9,173.2,66.3,50.2,156,3.6,3.9,7.0,145,12964.0,0,1,1,0,0,1
30,86.6,144.6,63.9,50.8,92,2.91,3.41,9.6,58,6479.0,0,1,1,0,1,0
31,86.6,144.6,63.9,50.8,92,2.91,3.41,9.2,76,6855.0,0,1,1,0,1,0
32,93.7,150.0,64.0,52.6,79,2.91,3.07,10.1,60,5399.0,0,1,1,0,1,0
33,93.7,150.0,64.0,52.6,92,2.91,3.41,9.2,76,6529.0,0,1,1,0,1,0
34,93.7,150.0,64.0,52.6,92,2.91,3.41,9.2,76,7129.0,0,1,1,0,1,0
35,96.5,163.4,64.0,54.5,92,2.91,3.41,9.2,76,7295.0,0,1,1,0,1,0
36,96.5,157.1,63.9,58.3,92,2.92,3.41,9.2,76,7295.0,0,1,1,0,1,0
37,96.5,167.5,65.2,53.3,110,3.15,3.58,9.0,86,7895.0,0,1,1,0,1,0
38,96.5,167.5,65.2,53.3,110,3.15,3.58,9.0,86,9095.0,0,1,1,0,1,0
39,96.5,175.4,65.2,54.1,110,3.15,3.58,9.0,86,8845.0,0,1,1,0,1,0
40,96.5,175.4,62.5,54.1,110,3.15,3.58,9.0,86,10295.0,0,1,1,0,1,0
41,96.5,175.4,65.2,54.1,110,3.15,3.58,9.0,101,12945.0,0,1,1,0,1,0
42,96.5,169.1,66.0,51.0,110,3.15,3.58,9.1,100,10345.0,0,1,1,0,1,0
43,94.3,170.7,61.8,53.5,111,3.31,3.23,8.5,78,6785.0,0,1,1,0,1,0
44,94.5,155.9,63.6,52.0,90,3.03,3.11,9.6,70,8916.5,0,1,1,0,1,0
45,94.5,155.9,63.6,52.0,90,3.03,3.11,9.6,70,8916.5,0,1,1,0,1,0
46,96.0,172.6,65.2,51.4,119,3.43,3.23,9.2,90,11048.0,0,1,1,0,1,0
47,113.0,199.6,69.6,52.8,258,3.63,4.17,8.1,176,32250.0,0,1,1,0,1,0
48,113.0,199.6,69.6,52.8,258,3.63,4.17,8.1,176,35550.0,0,1,1,0,1,0
49,102.0,191.7,70.6,47.8,326,3.54,2.76,11.5,262,36000.0,0,1,1,0,1,0
50,93.1,159.1,64.2,54.1,91,3.03,3.15,9.0,68,5195.0,0,1,1,0,1,0
51,93.1,159.1,64.2,54.1,91,3.03,3.15,9.0,68,6095.0,0,1,1,0,1,0
52,93.1,159.1,64.2,54.1,91,3.03,3.15,9.0,68,6795.0,0,1,1,0,1,0
53,93.1,166.8,64.2,54.1,91,3.03,3.15,9.0,68,6695.0,0,1,1,0,1,0
54,93.1,166.8,64.2,54.1,91,3.08,3.15,9.0,68,7395.0,0,1,1,0,1,0
55,95.3,169.0,65.7,49.6,70,3.33,3.255,9.4,101,10945.0,0,1,1,0,1,0
56,95.3,169.0,65.7,49.6,70,3.33,3.255,9.4,101,11845.0,0,1,1,0,1,0
57,95.3,169.0,65.7,49.6,70,3.33,3.255,9.4,101,13645.0,0,1,1,0,1,0
58,95.3,169.0,65.7,49.6,80,3.33,3.255,9.4,135,15645.0,0,1,1,0,1,0
59,98.8,177.8,66.5,53.7,122,3.39,3.39,8.6,84,8845.0,0,1,1,0,1,0
60,98.8,177.8,66.5,55.5,122,3.39,3.39,8.6,84,8495.0,0,1,1,0,1,0
61,98.8,177.8,66.5,53.7,122,3.39,3.39,8.6,84,10595.0,0,1,1,0,1,0
62,98.8,177.8,66.5,55.5,122,3.39,3.39,8.6,84,10245.0,0,1,1,0,1,0
63,98.8,177.8,66.5,55.5,122,3.39,3.39,22.7,64,10795.0,1,0,1,0,1,0
64,98.8,177.8,66.5,55.5,122,3.39,3.39,8.6,84,11245.0,0,1,1,0,1,0
65,104.9,175.0,66.1,54.4,140,3.76,3.16,8.0,120,18280.0,0,1,1,0,1,0
66,104.9,175.0,66.1,54.4,134,3.43,3.64,22.0,72,18344.0,1,0,1,0,1,0
67,110.0,190.9,70.3,56.5,183,3.58,3.64,21.5,123,25552.0,1,0,1,0,0,1
68,110.0,190.9,70.3,58.7,183,3.58,3.64,21.5,123,28248.0,1,0,1,0,0,1
69,106.7,187.5,70.3,54.9,183,3.58,3.64,21.5,123,28176.0,1,0,1,0,0,1
70,115.6,202.6,71.7,56.3,183,3.58,3.64,21.5,123,31600.0,1,0,1,0,0,1
71,115.6,202.6,71.7,56.5,234,3.46,3.1,8.3,155,34184.0,0,1,1,0,1,0
72,96.6,180.3,70.5,50.8,234,3.46,3.1,8.3,155,35056.0,0,1,1,0,1,0
73,120.9,208.1,71.7,56.7,308,3.8,3.35,8.0,184,40960.0,0,1,1,0,1,0
74,112.0,199.2,72.0,55.4,304,3.8,3.35,8.0,184,45400.0,0,1,1,0,1,0
75,102.7,178.4,68.0,54.8,140,3.78,3.12,8.0,175,16503.0,0,1,1,0,0,1
76,93.7,157.3,64.4,50.8,92,2.97,3.23,9.4,68,5389.0,0,1,1,0,1,0
77,93.7,157.3,64.4,50.8,92,2.97,3.23,9.4,68,6189.0,0,1,1,0,1,0
78,93.7,157.3,64.4,50.8,92,2.97,3.23,9.4,68,6669.0,0,1,1,0,1,0
79,93.0,157.3,63.8,50.8,98,3.03,3.39,7.6,102,7689.0,0,1,1,0,0,1
80,96.3,173.0,65.4,49.4,110,3.17,3.46,7.5,116,9959.0,0,1,1,0,0,1
81,96.3,173.0,65.4,49.4,122,3.35,3.46,8.5,88,8499.0,0,1,1,0,1,0
82,95.9,173.2,66.3,50.2,156,3.58,3.86,7.0,145,12629.0,0,1,1,0,0,1
83,95.9,173.2,66.3,50.2,156,3.59,3.86,7.0,145,14869.0,0,1,1,0,0,1
84,95.9,173.2,66.3,50.2,156,3.59,3.86,7.0,145,14489.0,0,1,1,0,0,1
85,96.3,172.4,65.4,51.6,122,3.35,3.46,8.5,88,6989.0,0,1,1,0,1,0
86,96.3,172.4,65.4,51.6,122,3.35,3.46,8.5,88,8189.0,0,1,1,0,1,0
87,96.3,172.4,65.4,51.6,110,3.17,3.46,7.5,116,9279.0,0,1,1,0,0,1
88,96.3,172.4,65.4,51.6,110,3.17,3.46,7.5,116,9279.0,0,1,1,0,1,0
89,94.5,165.3,63.8,54.5,97,3.15,3.29,9.4,69,5499.0,0,1,1,0,1,0
90,94.5,165.3,63.8,54.5,103,2.99,3.47,21.9,55,7099.0,1,0,1,0,1,0
91,94.5,165.3,63.8,54.5,97,3.15,3.29,9.4,69,6649.0,0,1,1,0,1,0
92,94.5,165.3,63.8,54.5,97,3.15,3.29,9.4,69,6849.0,0,1,1,0,1,0
93,94.5,170.2,63.8,53.5,97,3.15,3.29,9.4,69,7349.0,0,1,1,0,1,0
94,94.5,165.3,63.8,54.5,97,3.15,3.29,9.4,69,7299.0,0,1,1,0,1,0
95,94.5,165.6,63.8,53.3,97,3.15,3.29,9.4,69,7799.0,0,1,1,0,1,0
96,94.5,165.3,63.8,54.5,97,3.15,3.29,9.4,69,7499.0,0,1,1,0,1,0
97,94.5,170.2,63.8,53.5,97,3.15,3.29,9.4,69,7999.0,0,1,1,0,1,0
98,95.1,162.4,63.8,53.3,97,3.15,3.29,9.4,69,8249.0,0,1,1,0,1,0
99,97.2,173.4,65.2,54.7,120,3.33,3.47,8.5,97,8949.0,0,1,1,0,1,0
100,97.2,173.4,65.2,54.7,120,3.33,3.47,8.5,97,9549.0,0,1,1,0,1,0
101,100.4,181.7,66.5,55.1,181,3.43,3.27,9.0,152,13499.0,0,1,1,0,1,0
102,100.4,184.6,66.5,56.1,181,3.43,3.27,9.0,152,14399.0,0,1,1,0,1,0
103,100.4,184.6,66.5,55.1,181,3.43,3.27,9.0,152,13499.0,0,1,1,0,1,0
104,91.3,170.7,67.9,49.7,181,3.43,3.27,9.0,160,17199.0,0,1,1,0,1,0
105,91.3,170.7,67.9,49.7,181,3.43,3.27,7.8,200,19699.0,0,1,1,0,0,1
106,99.2,178.5,67.9,49.7,181,3.43,3.27,9.0,160,18399.0,0,1,1,0,1,0
107,107.9,186.7,68.4,56.7,120,3.46,3.19,8.4,97,11900.0,0,1,1,0,1,0
108,107.9,186.7,68.4,56.7,152,3.7,3.52,21.0,95,13200.0,1,0,1,0,0,1
109,114.2,198.9,68.4,58.7,120,3.46,3.19,8.4,97,12440.0,0,1,1,0,1,0
110,114.2,198.9,68.4,58.7,152,3.7,3.52,21.0,95,13860.0,1,0,1,0,0,1
111,107.9,186.7,68.4,56.7,120,3.46,2.19,8.4,95,15580.0,0,1,1,0,1,0
112,107.9,186.7,68.4,56.7,152,3.7,3.52,21.0,95,16900.0,1,0,1,0,0,1
113,114.2,198.9,68.4,56.7,120,3.46,2.19,8.4,95,16695.0,0,1,1,0,1,0
114,114.2,198.9,68.4,58.7,152,3.7,3.52,21.0,95,17075.0,1,0,1,0,0,1
115,107.9,186.7,68.4,56.7,120,3.46,3.19,8.4,97,16630.0,0,1,1,0,1,0
116,107.9,186.7,68.4,56.7,152,3.7,3.52,21.0,95,17950.0,1,0,1,0,0,1
117,108.0,186.7,68.3,56.0,134,3.61,3.21,7.0,142,18150.0,0,1,1,0,0,1
118,93.7,157.3,63.8,50.8,90,2.97,3.23,9.4,68,5572.0,0,1,1,0,1,0
119,93.7,157.3,63.8,50.8,98,3.03,3.39,7.6,102,7957.0,0,1,1,0,0,1
120,93.7,157.3,63.8,50.6,90,2.97,3.23,9.4,68,6229.0,0,1,1,0,1,0
121,93.7,167.3,63.8,50.8,90,2.97,3.23,9.4,68,6692.0,0,1,1,0,1,0
122,93.7,167.3,63.8,50.8,98,2.97,3.23,9.4,68,7609.0,0,1,1,0,1,0
123,103.3,174.6,64.6,59.8,122,3.35,3.46,8.5,88,8921.0,0,1,1,0,1,0
124,95.9,173.2,66.3,50.2,156,3.59,3.86,7.0,145,12764.0,0,1,1,0,0,1
125,94.5,168.9,68.3,50.2,151,3.94,3.11,9.5,143,22018.0,0,1,1,0,1,0
126,89.5,168.9,65.0,51.6,194,3.74,2.9,9.5,207,32528.0,0,1,0,1,1,0
127,89.5,168.9,65.0,51.6,194,3.74,2.9,9.5,207,34028.0,0,1,0,1,1,0
128,89.5,168.9,65.0,51.6,194,3.74,2.9,9.5,207,37028.0,0,1,0,1,1,0
129,98.4,175.7,72.3,50.5,203,3.94,3.11,10.0,288,31400.5,0,1,1,0,1,0
130,96.1,181.5,66.5,55.2,132,3.46,3.9,8.7,90,9295.0,0,1,1,0,1,0
131,96.1,176.8,66.6,50.5,132,3.46,3.9,8.7,90,9895.0,0,1,1,0,1,0
132,99.1,186.6,66.5,56.1,121,3.54,3.07,9.31,110,11850.0,0,1,1,0,1,0
133,99.1,186.6,66.5,56.1,121,3.54,3.07,9.3,110,12170.0,0,1,1,0,1,0
134,99.1,186.6,66.5,56.1,121,2.54,2.07,9.3,110,15040.0,0,1,1,0,1,0
135,99.1,186.6,66.5,56.1,121,3.54,3.07,9.3,110,15510.0,0,1,1,0,1,0
136,99.1,186.6,66.5,56.1,121,3.54,3.07,9.0,160,18150.0,0,1,1,0,0,1
137,99.1,186.6,66.5,56.1,121,3.54,3.07,9.0,160,18620.0,0,1,1,0,0,1
138,93.7,156.9,63.4,53.7,97,3.62,2.36,9.0,69,5118.0,0,1,1,0,1,0
139,93.7,157.9,63.6,53.7,108,3.62,2.64,8.7,73,7053.0,0,1,1,0,1,0
140,93.3,157.3,63.8,55.7,108,3.62,2.64,8.7,73,7603.0,0,1,1,0,1,0
141,97.2,172.0,65.4,52.5,108,3.62,2.64,9.5,82,7126.0,0,1,1,0,1,0
142,97.2,172.0,65.4,52.5,108,3.62,2.64,9.5,82,7775.0,0,1,1,0,1,0
143,97.2,172.0,65.4,52.5,108,3.62,2.64,9.0,94,9960.0,0,1,1,0,1,0
144,97.0,172.0,65.4,54.3,108,3.62,2.64,9.0,82,9233.0,0,1,1,0,1,0
145,97.0,172.0,65.4,54.3,108,3.62,2.64,7.7,111,11259.0,0,1,1,0,0,1
146,97.0,173.5,65.4,53.0,108,3.62,2.64,9.0,82,7463.0,0,1,1,0,1,0
147,97.0,173.5,65.4,53.0,108,3.62,2.64,9.0,94,10198.0,0,1,1,0,1,0
148,96.9,173.6,65.4,54.9,108,3.62,2.64,9.0,82,8013.0,0,1,1,0,1,0
149,96.9,173.6,65.4,54.9,108,3.62,2.64,7.7,111,11694.0,0,1,1,0,0,1
150,95.7,158.7,63.6,54.5,92,3.05,3.03,9.0,62,5348.0,0,1,1,0,1,0
151,95.7,158.7,63.6,54.5,92,3.05,3.03,9.0,62,6338.0,0,1,1,0,1,0
152,95.7,158.7,63.6,54.5,92,3.05,3.03,9.0,62,6488.0,0,1,1,0,1,0
153,95.7,169.7,63.6,59.1,92,3.05,3.03,9.0,62,6918.0,0,1,1,0,1,0
154,95.7,169.7,63.6,59.1,92,3.05,3.03,9.0,62,7898.0,0,1,1,0,1,0
155,95.7,169.7,63.6,59.1,92,3.05,3.03,9.0,62,8778.0,0,1,1,0,1,0
156,95.7,166.3,64.4,53.0,98,3.19,3.03,9.0,70,6938.0,0,1,1,0,1,0
157,95.7,166.3,64.4,52.8,98,3.19,3.03,9.0,70,7198.0,0,1,1,0,1,0
158,95.7,166.3,64.4,53.0,110,3.27,3.35,22.5,56,7898.0,1,0,1,0,1,0
159,95.7,166.3,64.4,52.8,110,3.27,3.35,22.5,56,7788.0,1,0,1,0,1,0
160,95.7,166.3,64.4,53.0,98,3.19,3.03,9.0,70,7738.0,0,1,1,0,1,0
161,95.7,166.3,64.4,52.8,98,3.19,3.03,9.0,70,8358.0,0,1,1,0,1,0
162,95.7,166.3,64.4,52.8,98,3.19,3.03,9.0,70,9258.0,0,1,1,0,1,0
163,94.5,168.7,64.0,52.6,98,3.19,3.03,9.0,70,8058.0,0,1,1,0,1,0
164,94.5,168.7,64.0,52.6,98,3.19,3.03,9.0,70,8238.0,0,1,1,0,1,0
165,94.5,168.7,64.0,52.6,98,3.24,3.08,9.4,112,9298.0,0,1,1,0,1,0
166,94.5,168.7,64.0,52.6,98,3.24,3.08,9.4,112,9538.0,0,1,1,0,1,0
167,98.4,176.2,65.6,52.0,146,3.62,3.5,9.3,116,8449.0,0,1,1,0,1,0
168,98.4,176.2,65.6,52.0,146,3.62,3.5,9.3,116,9639.0,0,1,1,0,1,0
169,98.4,176.2,65.6,52.0,146,3.62,3.5,9.3,116,9989.0,0,1,1,0,1,0
170,98.4,176.2,65.6,52.0,146,3.62,3.5,9.3,116,11199.0,0,1,1,0,1,0
171,98.4,176.2,65.6,52.0,146,3.62,3.5,9.3,116,11549.0,0,1,1,0,1,0
172,98.4,176.2,65.6,53.0,146,3.62,3.5,9.3,116,17669.0,0,1,1,0,1,0
173,102.4,175.6,66.5,54.9,122,3.31,3.54,8.7,92,8948.0,0,1,1,0,1,0
174,102.4,175.6,66.5,54.9,110,3.27,3.35,22.5,73,10698.0,1,0,1,0,0,1
175,102.4,175.6,66.5,53.9,122,3.31,3.54,8.7,92,9988.0,0,1,1,0,1,0
176,102.4,175.6,66.5,54.9,122,3.31,3.54,8.7,92,10898.0,0,1,1,0,1,0
177,102.4,175.6,66.5,53.9,122,3.31,3.54,8.7,92,11248.0,0,1,1,0,1,0
178,102.9,183.5,67.7,52.0,171,3.27,3.35,9.3,161,16558.0,0,1,1,0,1,0
179,102.9,183.5,67.7,52.0,171,3.27,3.35,9.3,161,15998.0,0,1,1,0,1,0
180,104.5,187.8,66.5,54.1,171,3.27,3.35,9.2,156,15690.0,0,1,1,0,1,0
181,104.5,187.8,66.5,54.1,161,3.27,3.35,9.2,156,15750.0,0,1,1,0,1,0
182,97.3,171.7,65.5,55.7,97,3.01,3.4,23.0,52,7775.0,1,0,1,0,1,0
183,97.3,171.7,65.5,55.7,109,3.19,3.4,9.0,85,7975.0,0,1,1,0,1,0
184,97.3,171.7,65.5,55.7,97,3.01,3.4,23.0,52,7995.0,1,0,1,0,1,0
185,97.3,171.7,65.5,55.7,109,3.19,3.4,9.0,85,8195.0,0,1,1,0,1,0
186,97.3,171.7,65.5,55.7,109,3.19,3.4,9.0,85,8495.0,0,1,1,0,1,0
187,97.3,171.7,65.5,55.7,97,3.01,3.4,23.0,68,9495.0,1,0,1,0,0,1
188,97.3,171.7,65.5,55.7,109,3.19,3.4,10.0,100,9995.0,0,1,1,0,1,0
189,94.5,159.3,64.2,55.6,109,3.19,3.4,8.5,90,11595.0,0,1,1,0,1,0
190,94.5,165.7,64.0,51.4,109,3.19,3.4,8.5,90,9980.0,0,1,1,0,1,0
191,100.4,180.2,66.9,55.1,136,3.19,3.4,8.5,110,13295.0,0,1,1,0,1,0
192,100.4,180.2,66.9,55.1,97,3.01,3.4,23.0,68,13845.0,1,0,1,0,0,1
193,100.4,183.1,66.9,55.1,109,3.19,3.4,9.0,88,12290.0,0,1,1,0,1,0
194,104.3,188.8,67.2,56.2,141,3.78,3.15,9.5,114,12940.0,0,1,1,0,1,0
195,104.3,188.8,67.2,57.5,141,3.78,3.15,9.5,114,13415.0,0,1,1,0,1,0
196,104.3,188.8,67.2,56.2,141,3.78,3.15,9.5,114,15985.0,0,1,1,0,1,0
197,104.3,188.8,67.2,57.5,141,3.78,3.15,9.5,114,16515.0,0,1,1,0,1,0
198,104.3,188.8,67.2,56.2,130,3.62,3.15,7.5,162,18420.0,0,1,1,0,0,1
199,104.3,188.8,67.2,57.5,130,3.62,3.15,7.5,162,18950.0,0,1,1,0,0,1
200,109.1,188.8,68.9,55.5,141,3.78,3.15,9.5,114,16845.0,0,1,1,0,1,0
201,109.1,188.8,68.8,55.5,141,3.78,3.15,8.7,160,19045.0,0,1,1,0,0,1
202,109.1,188.8,68.9,55.5,173,3.58,2.87,8.8,134,21485.0,0,1,1,0,1,0
203,109.1,188.8,68.9,55.5,145,3.01,3.4,23.0,106,22470.0,1,0,1,0,0,1
204,109.1,188.8,68.9,55.5,141,3.78,3.15,9.5,114,22625.0,0,1,1,0,0,1
